Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/14/2020 3:51:38 AM,Black,KH 4,0.7735857,3338,23.20757,100151,31,Lose,-
3/14/2020 4:19:47 AM,Black,KH 5,0.5220318,2468,14.61689,69116,29,Lose,-
3/14/2020 9:27:58 AM,Black,KH 4,1.538284,7254,15.38284,72548,11,Lose,-
3/14/2020 11:34:16 AM,White,KH 5,1.792893,8071,62.75124,282494,35,Lose,-
3/15/2020 6:42:27 AM,Black,AB 5,1.125036,4039,19.12561,68676,18,Lose,-
3/16/2020 9:27:14 AM,Black,AB 2,1.070271,6050,31.03786,175453,30,Draw,Threefold Repetition
3/16/2020 1:31:44 PM,Black,AB 2,0.9403537,5834,29.15096,180882,31,Draw,Perpetual Check
3/16/2020 6:42:23 PM,White,KH 4,0.7545054,4709,33.95274,211938,45,Lose,-
3/16/2020 7:51:27 PM,Black,KH 5,1.068412,5263,29.91554,147377,29,Draw,Threefold Repetition
3/16/2020 8:03:56 PM,White,AB 2,0.5252529,4016,12.60607,96397,24,Win,-
3/17/2020 1:12:13 AM,White,KH 2,0.4687545,4238,7.968827,72061,17,Win,-
3/17/2020 1:13:12 AM,Black,KH 2,0.9491107,5174,51.25198,279398,54,Draw,Threefold Repetition
3/17/2020 3:11:42 PM,Black,KH 2,1.168028,5537,45.55309,215966,40,Draw,Perpetual Check
3/17/2020 6:08:10 PM,White,KH 3,1.11527,6240,88.10635,492973,79,Lose,-
3/18/2020 10:57:40 AM,Black,KH 5,1.351946,5039,25.68697,95757,20,Lose,-
3/18/2020 10:58:00 AM,White,AB 2,0.3943874,3431,17.74743,154416,45,Win,-
3/19/2020 12:07:45 AM,White,AB 2,0.6088518,3967,11.56818,75389,19,Win,-
3/19/2020 12:16:10 AM,White,KH 4,0.8549973,3620,72.67477,307775,85,Lose,-
3/19/2020 12:24:51 AM,White,AB 3,2.04476,7835,73.61134,282077,36,Draw,Threefold Repetition
3/19/2020 12:24:51 AM,Black,AB 3,1.212248,7033,43.64091,253215,36,Draw,Threefold Repetition
3/19/2020 6:54:45 AM,White,AB 4,0.898317,4646,44.01754,227692,49,Lose,-
3/19/2020 7:00:45 AM,White,KH 2,0.7517959,7506,33.83081,337789,45,Draw,Threefold Repetition
3/19/2020 7:23:46 AM,Black,KH 3,1.161157,6571,55.73553,315454,49,Draw,Threefold Repetition
3/19/2020 7:26:45 AM,Black,KH 3,1.291932,6816,80.09978,422599,63,Draw,Perpetual Check
3/19/2020 2:20:43 PM,Black,AB 4,1.319634,5978,38.26939,173365,30,Lose,-
3/21/2020 12:27:06 PM,Black,AB 5,0.9572304,3506,57.43383,210389,60,Draw,Threefold Repetition
3/22/2020 12:11:35 AM,Black,KH 2,1.328273,7023,45.16128,238805,35,Lose,-
3/22/2020 12:14:39 AM,White,AB 3,0.6066142,3282,19.41165,105037,32,Draw,Perpetual Check
3/22/2020 12:14:39 AM,Black,AB 3,0.914982,5183,29.27942,165872,32,Draw,Perpetual Check
3/22/2020 2:33:57 AM,White,KH 3,1.187175,6129,49.86135,257447,42,Win,-
