Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/14/2020 7:49:06 AM,White,AB 4,0.07638251,484,2.826153,17927,37,Lose,-
3/14/2020 9:24:49 AM,White,AB 5,0.08787861,545,2.109087,13081,24,Lose,-
3/14/2020 9:33:31 AM,White,AB 4,0.07078877,468,2.831551,18752,40,Lose,-
3/15/2020 4:37:15 AM,White,AB 5,0.08381308,534,3.687776,23505,44,Lose,-
3/15/2020 5:55:07 AM,White,AB 5,0.08391969,631,2.60151,19579,31,Lose,-
3/16/2020 3:33:13 AM,White,AB 5,0.09143031,524,3.382922,19408,37,Lose,-
3/16/2020 4:42:23 AM,Black,KH 3,0.0404756,324,1.214268,9720,31,Lose,-
3/16/2020 4:53:27 AM,White,AB 4,0.09307397,530,4.467551,25462,48,Draw,Threefold Repetition
3/16/2020 9:27:14 AM,White,AB 3,0.09923323,535,2.976997,16067,30,Draw,Threefold Repetition
3/16/2020 9:30:59 AM,Black,AB 4,0.05260753,302,0.5260753,3023,11,Lose,-
3/16/2020 1:31:44 PM,White,AB 3,0.09097813,525,2.820322,16289,31,Draw,Perpetual Check
3/16/2020 1:48:42 PM,White,KH 4,0.0369154,256,2.436417,16953,66,Lose,-
3/16/2020 2:01:52 PM,White,KH 4,0.05370735,378,2.416831,17030,45,Draw,Perpetual Check
3/16/2020 7:51:34 PM,White,AB 2,0.05803171,342,3.133712,18486,54,Win,-
3/16/2020 7:51:34 PM,Black,AB 2,0.04297153,268,2.277491,14233,54,Lose,-
3/16/2020 8:03:56 PM,Black,AB 3,0.03192396,228,0.734251,5266,24,Lose,-
3/16/2020 8:07:47 PM,Black,KH 4,0.03902994,247,1.678288,10655,44,Lose,-
3/16/2020 8:18:27 PM,Black,KH 5,0.0443218,297,0.5318616,3566,13,Lose,-
3/17/2020 1:12:03 AM,Black,KH 5,0.03862257,285,0.3476031,2573,10,Lose,-
3/17/2020 2:01:07 PM,White,KH 5,0.0836669,513,3.848677,23638,46,Lose,-
3/17/2020 4:26:53 PM,White,KH 5,0.09945907,645,2.685395,17433,27,Lose,-
3/17/2020 6:05:12 PM,White,KH 2,0.08759739,323,4.555064,16821,52,Win,-
3/17/2020 6:10:41 PM,Black,KH 4,0.04626779,306,1.24923,8269,28,Lose,-
3/18/2020 10:58:00 AM,Black,AB 3,0.02487959,200,1.094702,8841,45,Lose,-
3/18/2020 3:41:53 PM,Black,KH 2,0.04514519,276,1.580082,9664,36,Lose,-
3/18/2020 6:35:56 PM,White,AB 5,0.07837702,465,4.389113,26046,56,Lose,-
3/19/2020 12:07:45 AM,Black,AB 3,0.03784792,253,0.6812626,4568,19,Lose,-
3/19/2020 7:21:21 AM,White,AB 4,0.1123559,569,3.595389,18208,32,Lose,-
3/19/2020 7:23:57 AM,White,KH 2,0.05199102,233,1.351767,6060,26,Win,-
3/19/2020 2:08:14 PM,White,KH 3,0.1469087,617,8.07998,33969,55,Lose,-
