Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/14/2020 7:44:28 AM,White,KH 5,252.5659,1207724,5556.449,26569937,22,Draw,Threefold Repetition
3/14/2020 9:24:49 AM,Black,AB 2,202.7687,1255062,4866.448,30121499,24,Win,-
3/14/2020 9:55:55 AM,White,KH 2,78.83451,499625,1340.187,8493631,17,Win,-
3/14/2020 9:30:11 PM,White,AB 5,350.0256,1490354,17151.26,73027363,49,Win,-
3/14/2020 9:30:11 PM,Black,AB 5,387.554,1691711,18602.59,81202152,49,Lose,-
3/15/2020 1:42:33 AM,Black,KH 5,293.2524,1821494,6744.805,41894377,24,Draw,Threefold Repetition
3/15/2020 4:37:15 AM,Black,AB 2,183.2468,1176423,8062.861,51762636,44,Win,-
3/15/2020 5:55:07 AM,Black,AB 2,150.5079,1081170,4665.745,33516279,31,Win,-
3/15/2020 6:42:27 AM,White,AB 3,156.6355,851887,2819.439,15333981,18,Win,-
3/16/2020 3:33:13 AM,Black,AB 2,212.1839,1207284,7850.803,44669525,37,Win,-
3/16/2020 4:42:03 AM,White,KH 4,163.4908,834072,3923.779,20017748,24,Win,-
3/16/2020 9:26:38 AM,White,AB 5,405.7416,2038583,9737.799,48925994,24,Draw,Threefold Repetition
3/16/2020 9:26:38 AM,Black,AB 5,289.2061,1675081,6651.742,38526881,24,Draw,Threefold Repetition
3/16/2020 10:05:48 AM,White,KH 2,65.39034,397144,850.0745,5162879,13,Win,-
3/16/2020 11:57:45 AM,Black,AB 4,204.3945,888712,5927.442,25772653,29,Draw,Threefold Repetition
3/16/2020 6:23:01 PM,White,KH 4,165.2333,727935,4296.067,18926310,26,Win,-
3/16/2020 6:37:25 PM,White,KH 2,66.27052,403838,861.5168,5249902,13,Win,-
3/16/2020 10:29:51 PM,Black,KH 2,218.6676,1225310,7872.035,44111184,36,Win,-
3/17/2020 12:51:23 AM,Black,KH 4,242.7417,1243888,7767.734,39804429,32,Win,-
3/17/2020 12:07:41 PM,Black,KH 5,378.5523,1693115,19306.17,86348906,52,Lose,-
3/17/2020 8:17:21 PM,Black,KH 3,150.7368,747544,7536.84,37377242,50,Win,-
3/18/2020 6:06:53 AM,Black,KH 4,96.5601,430442,7435.127,33144036,78,Draw,Threefold Repetition
3/18/2020 9:52:59 AM,Black,KH 3,148.0744,742153,8736.393,43787073,60,Draw,Threefold Repetition
3/18/2020 3:00:46 PM,White,AB 5,355.5311,1900784,8177.214,43718033,23,Draw,Threefold Repetition
3/18/2020 3:00:46 PM,Black,AB 5,277.7047,1714252,6387.209,39427798,23,Draw,Threefold Repetition
3/18/2020 6:35:56 PM,Black,AB 2,170.2385,988717,9533.356,55368189,56,Win,-
3/19/2020 2:04:02 AM,Black,AB 4,156.6635,857308,5013.232,27433867,32,Draw,Threefold Repetition
3/19/2020 6:31:39 AM,Black,KH 4,410.4371,1790173,14775.74,64446231,37,Draw,Threefold Repetition
3/21/2020 12:27:06 PM,White,AB 3,75.28369,341912,4517.021,20514745,60,Draw,Threefold Repetition
3/21/2020 1:32:36 PM,White,KH 3,141.3373,966920,2685.409,18371485,19,Win,-
