Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/14/2020 2:43:53 AM,White,KH 3,0.05770756,347,3.000793,18060,52,Draw,Threefold Repetition
3/14/2020 8:03:39 AM,White,KH 4,0.05362467,328,3.378355,20714,63,Lose,-
3/14/2020 9:55:55 AM,Black,AB 5,0.04533386,286,0.7253418,4589,17,Lose,-
3/16/2020 10:05:48 AM,Black,AB 5,0.03736071,250,0.4483285,3004,13,Lose,-
3/16/2020 12:02:03 PM,White,AB 4,0.06659476,464,2.464006,17190,37,Lose,-
3/16/2020 12:12:25 PM,Black,KH 5,0.04087218,276,0.4904662,3319,13,Lose,-
3/16/2020 2:14:25 PM,Black,KH 4,0.03841146,282,0.6529948,4810,18,Lose,-
3/16/2020 6:37:25 PM,Black,AB 5,0.04151315,274,0.4981578,3291,13,Lose,-
3/16/2020 7:58:12 PM,White,KH 4,0.08793665,562,3.69334,23609,42,Lose,-
3/16/2020 8:03:41 PM,Black,AB 4,0.05213597,274,1.407671,7412,28,Lose,-
3/16/2020 10:29:51 PM,White,AB 5,0.1056536,602,3.80353,21693,36,Lose,-
3/17/2020 1:12:13 AM,Black,AB 3,0.03050159,268,0.4880254,4292,17,Lose,-
3/17/2020 1:13:12 AM,White,AB 3,0.1127929,590,6.090816,31877,54,Draw,Threefold Repetition
3/17/2020 3:11:42 PM,White,AB 3,0.1222746,565,4.890982,22615,40,Draw,Perpetual Check
3/17/2020 6:05:12 PM,Black,AB 2,0.04381662,276,2.234648,14109,52,Lose,-
3/17/2020 6:11:00 PM,White,KH 3,0.1205835,617,2.291086,11723,19,Draw,Threefold Repetition
3/18/2020 6:19:07 AM,Black,KH 5,0.03911242,259,0.4302366,2858,12,Lose,-
3/18/2020 6:45:18 AM,White,AB 4,0.06337644,449,2.598434,18415,41,Lose,-
3/18/2020 3:41:53 PM,White,AB 2,0.06985246,241,2.514689,8676,36,Win,-
3/19/2020 12:29:15 AM,White,KH 4,0.04950018,369,2.425509,18087,49,Draw,Threefold Repetition
3/19/2020 7:00:45 AM,Black,AB 3,0.02788231,267,1.226822,11755,45,Draw,Threefold Repetition
3/19/2020 7:23:54 AM,Black,KH 3,0.02597343,231,0.4155749,3696,17,Lose,-
3/19/2020 7:23:57 AM,Black,AB 2,0.02648852,256,0.6622131,6419,26,Lose,-
3/22/2020 12:11:35 AM,White,AB 3,0.1288622,672,4.510177,23524,35,Win,-
3/22/2020 1:28:20 AM,White,KH 5,0.1160229,683,3.016595,17775,26,Lose,-
3/22/2020 2:31:20 AM,White,KH 2,0.07034347,254,4.572326,16551,65,Draw,Threefold Repetition
3/22/2020 2:31:20 AM,Black,KH 2,0.0573225,259,3.66864,16626,65,Draw,Threefold Repetition
3/23/2020 1:15:54 AM,Black,KH 5,0.04675266,270,0.7947952,4603,18,Lose,-
3/23/2020 2:15:09 AM,Black,KH 3,0.04500391,289,1.980172,12744,45,Lose,-
3/23/2020 2:15:40 AM,Black,KH 3,0.02990095,268,0.7774246,6991,27,Lose,-
