Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/14/2020 3:36:04 AM,Black,KH 5,6.966211,36375,174.1553,909398,26,Lose,-
3/14/2020 3:47:17 AM,White,KH 4,5.430527,26385,407.2896,1978926,75,Win,-
3/14/2020 3:47:17 AM,Black,KH 4,3.572879,17363,264.393,1284916,75,Lose,-
3/14/2020 3:51:38 AM,White,AB 3,7.634123,31344,236.6578,971685,31,Win,-
3/14/2020 7:58:58 AM,White,KH 4,5.498194,29337,329.8917,1760233,60,Win,-
3/14/2020 7:58:58 AM,Black,KH 4,4.416491,22699,260.573,1339272,60,Lose,-
3/14/2020 8:03:39 AM,Black,KH 2,4.397241,19309,277.0262,1216488,63,Win,-
3/14/2020 9:27:58 AM,White,AB 3,15.6474,71692,172.1214,788622,11,Win,-
3/16/2020 4:42:03 AM,Black,AB 5,8.896626,45675,204.6224,1050540,24,Lose,-
3/16/2020 1:31:11 PM,Black,KH 5,4.563007,26388,269.2174,1556918,60,Draw,Threefold Repetition
3/16/2020 1:45:09 PM,White,KH 4,10.6314,53427,361.4676,1816550,34,Draw,Threefold Repetition
3/16/2020 1:45:09 PM,Black,KH 4,7.939211,40290,261.994,1329593,34,Draw,Threefold Repetition
3/16/2020 1:48:42 PM,Black,AB 2,3.155234,16369,208.2454,1080385,66,Win,-
3/16/2020 2:01:52 PM,Black,AB 2,7.908182,32819,347.96,1444047,45,Draw,Perpetual Check
3/16/2020 2:14:25 PM,White,KH 2,6.981967,28556,125.6754,514008,18,Win,-
3/16/2020 6:23:01 PM,Black,AB 5,7.051888,36935,176.2972,923390,26,Lose,-
3/16/2020 6:42:23 PM,Black,AB 3,5.826849,35270,262.2082,1587163,45,Win,-
3/16/2020 7:58:12 PM,Black,KH 2,9.343032,47169,392.4073,1981098,42,Win,-
3/16/2020 8:07:47 PM,White,AB 2,5.180091,23219,227.924,1021679,44,Win,-
3/17/2020 12:51:23 AM,White,AB 5,22.57887,106919,722.5239,3421427,32,Lose,-
3/17/2020 1:26:28 AM,White,AB 4,5.975197,29204,412.2886,2015110,69,Win,-
3/17/2020 6:10:41 PM,White,AB 2,5.287621,34082,148.0534,954304,28,Win,-
3/18/2020 6:06:53 AM,White,AB 5,14.02252,58427,1093.756,4557373,78,Draw,Threefold Repetition
3/18/2020 6:39:59 AM,Black,AB 4,4.723806,22186,292.876,1375538,63,Lose,-
3/18/2020 3:10:52 PM,White,AB 4,7.634275,34138,251.9311,1126573,33,Draw,Threefold Repetition
3/18/2020 3:56:50 PM,White,AB 4,5.57278,27728,434.6768,2162810,78,Draw,Threefold Repetition
3/19/2020 12:16:10 AM,Black,AB 3,5.063814,21915,430.4242,1862821,85,Win,-
3/19/2020 12:29:15 AM,Black,KH 2,5.377017,24766,258.0968,1188774,49,Draw,Threefold Repetition
3/19/2020 6:31:39 AM,White,AB 5,34.57883,143628,1279.417,5314258,37,Draw,Threefold Repetition
3/21/2020 11:04:59 AM,White,KH 3,9.157033,37294,439.5376,1790149,48,Win,-
