Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/13/2020 11:56:59 PM,Black,AB 4,0.8585991,3250,42.07136,159255,50,Lose,-
3/14/2020 2:43:53 AM,Black,KH 2,0.4001507,2509,20.40768,127968,52,Draw,Threefold Repetition
3/15/2020 8:39:34 AM,White,KH 5,1.813725,8820,61.66665,299908,34,Win,-
3/16/2020 4:42:23 AM,White,AB 2,0.5335334,4350,16.53954,134855,31,Win,-
3/16/2020 1:56:00 PM,Black,AB 4,0.5740343,2280,28.70172,114009,51,Lose,-
3/17/2020 1:00:28 AM,White,AB 4,0.8151714,3384,51.3558,213230,63,Lose,-
3/17/2020 1:28:38 AM,White,KH 3,1.393141,5953,79.40905,339353,57,Draw,Perpetual Check
3/17/2020 1:28:38 AM,Black,KH 3,0.8695642,5017,49.56516,286021,57,Draw,Perpetual Check
3/17/2020 3:10:50 PM,Black,KH 5,1.59615,7388,44.69221,206873,28,Draw,Perpetual Check
3/17/2020 6:08:10 PM,Black,AB 3,1.124427,5290,88.8297,417924,79,Win,-
3/17/2020 6:11:00 PM,Black,KH 2,0.8706145,4576,15.67106,82376,19,Draw,Threefold Repetition
3/17/2020 8:17:21 PM,White,AB 5,0.7862334,4641,39.31167,232077,50,Lose,-
3/18/2020 9:52:59 AM,White,AB 5,0.8315729,4605,49.89438,276305,60,Draw,Threefold Repetition
3/19/2020 6:45:05 AM,Black,AB 4,1.430418,6415,61.50798,275845,44,Lose,-
3/19/2020 7:00:09 AM,Black,AB 4,1.325781,6924,22.53828,117712,18,Lose,-
3/19/2020 7:23:46 AM,White,AB 3,1.792733,7334,87.84392,359403,49,Draw,Threefold Repetition
3/19/2020 7:23:54 AM,White,KH 2,0.3733301,3443,6.346612,58536,17,Win,-
3/19/2020 7:26:45 AM,White,AB 3,1.375543,5744,86.65923,361883,63,Draw,Perpetual Check
3/19/2020 2:08:14 PM,Black,AB 2,1.421449,6158,78.17969,338740,55,Win,-
3/21/2020 11:04:59 AM,Black,KH 4,0.7413346,2961,34.84272,139175,48,Lose,-
3/21/2020 1:32:36 PM,Black,AB 5,1.139437,3323,20.50987,59824,19,Lose,-
3/22/2020 12:13:49 AM,White,KH 3,1.135543,6039,39.744,211379,35,Win,-
3/22/2020 12:13:49 AM,Black,KH 3,1.160826,6046,39.46807,205572,35,Lose,-
3/22/2020 2:33:57 AM,Black,AB 3,1.015528,4988,41.63663,204536,42,Lose,-
3/23/2020 12:49:30 AM,White,KH 5,1.063705,4176,75.52309,296549,71,Draw,Threefold Repetition
3/23/2020 1:17:45 AM,White,KH 3,1.551432,7594,58.95441,288583,38,Draw,Perpetual Check
3/23/2020 1:17:45 AM,Black,KH 3,1.185708,5630,43.87119,208320,38,Draw,Perpetual Check
3/23/2020 2:15:09 AM,White,KH 2,0.7605938,4978,34.22672,224029,45,Win,-
3/23/2020 2:15:40 AM,White,KH 2,0.6517462,5944,17.59715,160513,27,Win,-
3/23/2020 5:25:15 PM,White,KH 5,1.579916,7079,71.0962,318575,45,Draw,Threefold Repetition
